지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1994-01-10 21:00,.1,0
90,속초,1994-01-11 00:00,5.7,0
90,속초,1994-01-11 03:00,6,0
90,속초,1994-01-11 06:00,2.7,0
90,속초,1994-01-11 09:00,.6,0
90,속초,1994-01-11 12:00,.8,0
90,속초,1994-01-11 15:00,1.2,0
90,속초,1994-01-11 18:00,1.7,0
90,속초,1994-01-11 21:00,2.7,0
90,속초,1994-01-12 00:00,1.2,0
90,속초,1994-01-12 03:00,.4,0
90,속초,1994-01-14 15:00,2.4,0
90,속초,1994-01-14 18:00,.7,0
90,속초,1994-01-14 21:00,0,0
90,속초,1994-01-17 06:00,5.8,0
90,속초,1994-01-17 09:00,5.2,0
90,속초,1994-01-17 12:00,4.5,0
90,속초,1994-01-17 15:00,3.4,0
90,속초,1994-01-17 18:00,2.4,0
90,속초,1994-01-17 21:00,1.1,0
90,속초,1994-01-18 00:00,1.6,0
90,속초,1994-01-18 03:00,.4,0
90,속초,1994-01-23 12:00,.1,0
90,속초,1994-01-26 12:00,0,0
90,속초,1994-01-26 15:00,0,0
90,속초,1994-01-28 09:00,0,0
90,속초,1994-01-28 12:00,.1,0
90,속초,1994-01-28 18:00,0,0
90,속초,1994-01-28 21:00,2.2,0
90,속초,1994-01-29 00:00,1.1,0
90,속초,1994-01-29 03:00,0,0
90,속초,1994-01-29 09:00,1.2,0
90,속초,1994-01-29 12:00,7.1,0
90,속초,1994-01-29 15:00,3.9,0
90,속초,1994-01-29 18:00,3.9,0
90,속초,1994-01-29 21:00,1.4,0
90,속초,1994-01-30 00:00,.1,0
90,속초,1994-02-09 00:00,.5,0
90,속초,1994-02-09 03:00,4.1,0
90,속초,1994-02-09 06:00,11,0
90,속초,1994-02-09 09:00,5.2,0
90,속초,1994-02-09 12:00,1.6,0
90,속초,1994-02-09 15:00,5.3,0
90,속초,1994-02-09 18:00,0,0
90,속초,1994-02-12 03:00,0,0
90,속초,1994-02-12 06:00,.7,0
90,속초,1994-02-12 09:00,1.1,0
90,속초,1994-02-12 12:00,3.6,0
90,속초,1994-02-12 15:00,7.4,0
90,속초,1994-02-12 18:00,2.8,0
90,속초,1994-02-26 09:00,.1,0
90,속초,1994-02-26 12:00,0,0
90,속초,1994-03-07 06:00,0,0
90,속초,1994-03-07 09:00,0,0
90,속초,1994-03-07 12:00,.6,0
90,속초,1994-03-07 15:00,.1,0
90,속초,1994-03-07 18:00,.1,0
90,속초,1994-03-07 21:00,.8,0
90,속초,1994-03-08 00:00,.2,0
90,속초,1994-03-16 21:00,0,0
90,속초,1994-03-17 00:00,0,0
90,속초,1994-03-20 12:00,.1,0
90,속초,1994-03-20 15:00,0,0
90,속초,1994-03-22 12:00,.2,0
90,속초,1994-03-22 15:00,.7,0
90,속초,1994-03-22 18:00,.2,0
90,속초,1994-03-24 12:00,.2,0
90,속초,1994-03-24 15:00,.5,0
90,속초,1994-03-24 18:00,.4,0
90,속초,1994-03-24 21:00,.1,0
90,속초,1994-03-29 00:00,0,0
90,속초,1994-04-12 03:00,2.5,0
90,속초,1994-04-12 04:00,7,0
90,속초,1994-04-12 05:00,4.1,0
90,속초,1994-04-12 06:00,1.2,0
90,속초,1994-04-12 07:00,.9,0
90,속초,1994-04-12 08:00,1.4,0
90,속초,1994-04-12 09:00,.5,0
90,속초,1994-04-12 10:00,.8,0
90,속초,1994-04-12 11:00,1,0
90,속초,1994-04-12 12:00,.2,0
90,속초,1994-04-12 13:00,.4,0
90,속초,1994-04-21 04:00,0,0
90,속초,1994-04-21 05:00,0,0
90,속초,1994-04-21 06:00,0,0
90,속초,1994-04-21 07:00,0,0
90,속초,1994-04-21 08:00,0,0
90,속초,1994-04-21 09:00,0,0
90,속초,1994-04-21 10:00,0,0
90,속초,1994-04-22 06:00,0,0
90,속초,1994-04-22 07:00,0,0
90,속초,1994-04-22 09:00,0,0
90,속초,1994-04-22 10:00,0,0
90,속초,1994-04-22 11:00,0,0
90,속초,1994-04-22 13:00,0,0
90,속초,1994-04-22 14:00,.1,0
90,속초,1994-04-22 15:00,0,0
90,속초,1994-04-22 16:00,0,0
90,속초,1994-04-22 17:00,0,0
90,속초,1994-04-22 18:00,0,0
90,속초,1994-04-22 19:00,0,0
90,속초,1994-04-29 21:00,.1,0
90,속초,1994-04-29 22:00,0,0
90,속초,1994-04-29 23:00,.4,0
